
***             Voronoi Diagram k =  551         ***
index	sx	sy	ls	mi
      477	    195	    438	      52.3	     0.839
      478	    335	    218	         8	     0.877
      479	    287	    336	      8.37	     0.875
      480	    282	    332	      5.74	     0.918
      481	    284	    323	      6.86	      1.03
      482	    153	    315	      14.8	     0.842
      483	    308	    101	      43.7	     0.854
      484	    301	     69	      40.6	     0.842
      485	    169	    256	      12.4	     0.848
      486	    467	    214	      63.9	     0.851
      487	    335	    192	      7.28	     0.842
      488	    332	    234	      5.83	     0.883
      489	    321	    238	      5.92	      1.09
      490	    323	    234	      4.47	      1.05
      491	    327	    232	      4.58	     0.937
      492	    260	    473	      69.7	     0.842
      493	    145	    245	      32.6	     0.848
      494	    288	    177	       6.4	     0.898
      495	    285	     37	      55.6	     0.855
      496	    195	    348	      19.2	     0.841
      497	    202	    341	       9.7	     0.836
      498	    310	    180	      5.48	     0.873
      499	    308	    185	       5.1	     0.874
      500	    312	    203	       4.8	     0.914
      501	    308	    207	       5.2	      1.03
      502	    275	    128	      32.5	     0.844
      503	    198	    203	       6.4	     0.883
      504	    293	    197	      5.74	      1.08
      505	    311	    159	      18.5	      0.83
      506	    332	    229	      6.08	     0.855
      507	    323	    229	      6.16	      1.01
      508	    329	    224	       6.4	      0.91
      509	    247	    350	      16.3	     0.851
      510	    285	    171	      7.55	      0.89
      511	    278	    158	      17.7	     0.836
      512	    248	    226	      14.3	      1.16
      513	    240	    232	      13.6	      1.16
      514	    228	    239	      17.4	      1.15
      515	    226	    221	      12.3	      1.14
      516	    226	    203	      8.06	      1.12
      517	    235	    205	      8.43	      1.14
      518	    243	    210	      11.1	      1.13
      519	    190	    267	      6.32	      1.09
      520	    183	    268	      6.32	     0.954
      521	     98	    257	      32.5	     0.845
      522	    310	    212	      5.39	      1.08
      523	    303	    214	      8.49	      1.15
      524	    276	    171	      8.94	     0.851
      525	    281	    174	      5.83	     0.919
      526	    334	    251	      5.57	     0.936
      527	    330	    255	      5.29	         1
      528	    323	    257	      5.92	      1.12
      529	    320	    254	      6.93	      1.13
      530	    320	    248	      7.42	      1.11
      531	    330	    249	      4.12	     0.981
      532	    176	    284	      7.42	     0.892
      533	    229	    174	      7.48	     0.903
      534	    312	    347	      17.1	     0.844
      535	    269	    230	      21.2	      1.16
      536	    250	    246	      21.5	      1.17
      537	    237	    220	      11.2	      1.15
      538	    254	    215	        14	      1.16
      539	     34	    271	      66.9	     0.842
      540	    268	    302	      8.94	      1.19
      541	    251	    304	      13.4	      1.15
      542	    258	    291	      14.6	      1.17
      543	    266	    294	      10.5	      1.19
      544	    183	    283	      6.86	     0.926
      545	    164	    285	      14.6	     0.859
      546	    176	    279	      7.48	     0.858
      547	    162	    264	      14.5	     0.861
      548	    134	    305	      37.5	     0.831
      549	     85	    297	      48.8	      0.84
      550	    329	    292	         6	     0.938
      551	    334	    286	      7.87	     0.865
