
*** Voronoi Diagram Neighbours k = 751 ***
Seed	Neighbours
N751(178)	{ 363 184 99 567 297 445 }
N751(179)	{ 264 99 445 736 263 568 }
N751(180)	{ 9 363 177 374 286 181 }
N751(181)	{ 9 73 374 180 72 }
N751(182)	{ 183 100 101 286 406 374 287 }
N751(183)	{ 182 101 100 297 24 184 }
N751(184)	{ 297 183 363 178 100 }
N751(185)	{ 105 34 130 193 127 106 265 222 78 }
N751(186)	{ 266 222 82 267 215 107 }
N751(187)	{ 59 162 310 188 393 217 95 }
N751(188)	{ 162 310 187 471 191 122 }
N751(189)	{ 170 261 262 298 270 268 335 269 334 }
N751(190)	{ 486 412 641 270 174 }
N751(191)	{ 458 162 312 471 311 188 }
N751(192)	{ 341 339 459 273 272 274 642 271 175 }
N751(193)	{ 149 75 148 127 185 78 74 }
N751(194)	{ 128 299 76 16 }
N751(195)	{ 25 10 246 526 7 525 }
N751(196)	{ 390 377 640 670 606 678 446 607 251 732 700 }
N751(197)	{ 684 668 683 685 667 682 }
N751(198)	{ 199 37 201 36 20 }
N751(199)	{ 198 37 38 20 509 200 41 }
N751(200)	{ 151 20 509 154 21 199 }
N751(201)	{ 40 150 36 20 198 }
N751(202)	{ 592 450 744 203 745 743 734 }
N751(203)	{ 593 592 744 202 449 }
N751(204)	{ 380 378 263 716 381 29 }
N751(205)	{ 17 30 735 206 736 716 104 }
N751(206)	{ 30 712 93 18 735 205 733 }
N751(207)	{ 50 208 156 161 699 49 305 }
N751(208)	{ 207 156 157 698 49 209 }
N751(209)	{ 480 157 158 698 529 208 }
N751(210)	{ 533 532 719 531 529 }
N751(211)	{ 532 541 307 723 308 306 }
N751(212)	{ 124 28 164 9 25 165 65 }
N751(213)	{ 25 357 10 584 356 79 }
N751(214)	{ 215 82 383 382 47 }
N751(215)	{ 82 214 186 518 267 47 }
N751(216)	{ 385 397 384 257 687 387 386 }
N751(217)	{ 310 218 187 484 385 393 }
N751(218)	{ 333 310 385 217 451 261 96 }
N751(219)	{ 386 220 451 260 96 }
N751(220)	{ 331 260 219 386 688 221 687 }
N751(221)	{ 259 331 172 688 258 220 }
N751(222)	{ 106 107 185 266 265 186 }
N751(223)	{ 109 594 224 595 289 462 }
N751(224)	{ 290 110 109 285 594 223 461 }
N751(225)	{ 109 463 289 226 596 365 290 }
N751(226)	{ 365 229 463 225 389 }
N751(227)	{ 116 115 56 464 388 120 }
N751(228)	{ 292 119 291 389 229 388 }
N751(229)	{ 292 365 364 389 228 226 }
N751(230)	{ 702 453 557 737 231 552 }
N751(231)	{ 453 729 452 737 230 454 }
N751(232)	{ 123 318 237 336 269 233 }
N751(233)	{ 123 234 232 471 311 336 }
N751(234)	{ 233 311 313 123 312 }
N751(235)	{ 123 316 236 315 339 271 338 314 }
N751(236)	{ 123 235 486 237 316 }
N751(237)	{ 123 232 486 318 236 }
N751(238)	{ 141 140 711 87 142 }
N751(239)	{ 441 142 524 18 141 }
N751(240)	{ 633 243 321 639 98 638 }
N751(241)	{ 319 534 252 321 666 535 417 }
N751(242)	{ 391 700 251 686 }
N751(243)	{ 98 633 240 742 4 173 }
N751(244)	{ 159 245 530 720 719 325 }
N751(245)	{ 10 530 158 244 536 159 246 }
N751(246)	{ 10 195 245 537 525 536 }
N751(247)	{ 539 538 682 537 663 }
N751(248)	{ 325 541 324 566 491 542 }
N751(249)	{ 458 569 273 636 163 250 }
N751(250)	{ 458 162 636 249 643 488 60 }
N751(251)	{ 597 391 390 700 242 196 }
N751(252)	{ 241 599 319 534 672 598 637 }
N751(253)	{ 1 369 97 677 57 254 }
N751(254)	{ 370 369 255 677 676 253 }
N751(255)	{ 370 457 395 392 676 589 254 }
N751(256)	{ 396 371 457 395 394 }
N751(257)	{ 397 216 387 399 396 398 }
N751(258)	{ 373 259 372 688 398 221 }
N751(259)	{ 221 172 97 373 258 369 }
N751(260)	{ 331 220 171 451 170 219 }
N751(261)	{ 189 333 268 451 170 218 }
N751(262)	{ 170 189 641 171 270 }
N751(263)	{ 264 204 482 380 332 736 381 179 }
N751(264)	{ 179 332 263 99 }
N751(265)	{ 185 78 266 222 79 }
N751(266)	{ 222 265 186 584 82 79 }
N751(267)	{ 186 107 135 518 137 215 }
N751(268)	{ 261 334 189 333 }
N751(269)	{ 189 336 335 232 337 318 298 }
N751(270)	{ 189 412 298 641 262 190 }
N751(271)	{ 339 235 314 642 192 338 }
N751(272)	{ 342 312 341 459 273 192 }
N751(273)	{ 458 342 192 272 569 459 249 }
N751(274)	{ 192 459 599 175 598 }
N751(275)	{ 284 277 400 31 540 67 283 }
N751(276)	{ 400 31 401 69 68 }
N751(277)	{ 31 69 283 275 746 284 70 }
N751(278)	{ 155 45 279 44 21 }
N751(279)	{ 278 280 44 510 21 43 }
N751(280)	{ 279 43 403 44 22 }
N751(281)	{ 44 402 654 405 403 }
N751(282)	{ 283 71 460 66 594 462 461 }
N751(283)	{ 282 284 277 71 540 275 66 }
N751(284)	{ 275 283 71 746 277 285 }
N751(285)	{ 461 71 224 746 284 110 }
N751(286)	{ 363 100 177 374 182 180 }
N751(287)	{ 101 182 442 288 406 }
N751(288)	{ 101 442 147 287 468 76 102 }
N751(289)	{ 109 225 595 223 463 }
N751(290)	{ 110 224 109 596 225 55 }
N751(291)	{ 228 465 119 388 }
N751(292)	{ 228 119 364 229 114 702 293 557 }
N751(293)	{ 119 294 702 466 557 292 }
N751(294)	{ 119 293 467 465 466 }
N751(295)	{ 155 405 402 443 152 3 }
N751(296)	{ 166 89 168 400 68 67 }
N751(297)	{ 24 183 184 567 103 178 }
N751(298)	{ 189 269 412 337 270 }
N751(299)	{ 194 468 76 16 }
N751(300)	{ 377 411 304 659 564 565 }
N751(301)	{ 609 302 563 562 705 664 600 }
N751(302)	{ 600 601 609 301 610 410 603 }
N751(303)	{ 606 671 670 605 }
N751(304)	{ 377 6 565 504 300 }
N751(305)	{ 161 699 207 723 306 309 }
N751(306)	{ 532 699 533 723 211 305 }
N751(307)	{ 532 541 211 720 531 324 }
N751(308)	{ 541 327 723 211 545 }
N751(309)	{ 161 499 544 723 545 305 }
N751(310)	{ 217 187 188 333 218 122 }
N751(311)	{ 312 234 471 233 191 }
N751(312)	{ 311 234 313 341 272 458 191 342 }
N751(313)	{ 234 123 341 312 339 314 }
N751(314)	{ 123 271 338 235 341 313 339 }
N751(315)	{ 316 235 340 338 317 }
N751(316)	{ 235 315 486 236 317 }
N751(317)	{ 340 315 98 486 316 174 }
N751(318)	{ 232 269 337 486 412 237 }
N751(319)	{ 241 598 252 638 599 321 }
N751(320)	{ 417 416 490 413 415 }
N751(321)	{ 241 634 633 535 638 240 319 }
N751(322)	{ 686 391 323 747 470 330 }
N751(323)	{ 470 322 686 721 701 469 }
N751(324)	{ 542 541 248 720 307 325 }
N751(325)	{ 491 248 159 720 324 244 }
N751(326)	{ 418 491 419 420 691 422 492 }
N751(327)	{ 541 545 308 628 543 542 }
N751(328)	{ 488 643 644 646 489 645 }
N751(329)	{ 121 6 60 644 643 390 }
N751(330)	{ 391 646 747 693 322 }
N751(331)	{ 221 220 172 260 171 }
N751(332)	{ 264 363 99 177 482 263 176 }
N751(333)	{ 261 218 310 268 423 334 122 }
N751(334)	{ 268 189 423 335 333 }
N751(335)	{ 189 269 423 336 334 }
N751(336)	{ 269 232 335 471 233 423 }
N751(337)	{ 269 412 318 298 }
N751(338)	{ 339 235 314 315 642 271 340 }
N751(339)	{ 271 338 235 341 192 313 314 }
N751(340)	{ 315 317 639 98 642 338 175 }
N751(341)	{ 192 313 339 314 342 312 272 }
N751(342)	{ 341 272 458 273 312 }
N751(343)	{ 348 1 15 344 575 476 2 }
N751(344)	{ 436 15 476 354 343 }
N751(345)	{ 436 15 547 546 353 }
N751(346)	{ 551 621 546 627 620 550 }
N751(347)	{ 551 15 550 673 586 348 }
N751(348)	{ 1 343 15 673 347 57 }
N751(349)	{ 432 475 350 474 574 473 354 }
N751(350)	{ 432 475 349 714 433 36 }
N751(351)	{ 435 19 614 352 715 434 444 }
N751(352)	{ 435 353 351 652 614 23 }
N751(353)	{ 352 436 435 547 345 23 }
N751(354)	{ 436 432 344 574 476 349 }
N751(355)	{ 383 382 360 717 48 649 }
N751(356)	{ 357 584 382 213 718 48 478 }
N751(357)	{ 213 356 479 10 478 }
N751(358)	{ 479 647 480 718 478 477 }
N751(359)	{ 650 647 361 717 477 649 }
N751(360)	{ 383 649 355 83 }
N751(361)	{ 649 585 650 359 648 }
N751(362)	{ 635 84 648 585 26 }
N751(363)	{ 99 178 332 184 100 286 180 177 }
N751(364)	{ 292 229 517 365 114 }
N751(365)	{ 229 226 517 364 596 225 512 }
N751(366)	{ 552 367 738 555 556 }
N751(367)	{ 556 366 557 552 114 }
N751(368)	{ 16 132 32 133 136 35 }
N751(369)	{ 253 97 254 373 370 259 }
N751(370)	{ 254 373 169 369 395 371 255 }
N751(371)	{ 395 370 396 256 169 }
N751(372)	{ 373 258 399 398 169 }
N751(373)	{ 372 169 258 370 369 259 }
N751(374)	{ 286 180 181 406 182 72 }
N751(375)	{ 608 611 410 678 446 607 }
N751(376)	{ 605 608 604 640 607 606 }
N751(377)	{ 304 390 6 300 446 196 411 }
N751(378)	{ 380 204 379 29 744 734 483 }
N751(379)	{ 380 378 482 576 483 558 }
N751(380)	{ 204 378 482 263 379 }
N751(381)	{ 204 736 263 716 }
N751(382)	{ 48 383 355 214 584 82 356 }
