
***             Voronoi Diagram k = 7175         ***
index	sx	sy	ls	mi
      269	    344	    497	      5.83	      88.5
      270	    336	    482	       9.7	        19
      271	    348	    467	      14.2	        19
      272	    359	    480	      6.48	        41
      273	    360	    490	         7	        64
      274	    171	    450	      12.3	        19
      275	    160	    418	      8.31	        79
      276	    172	    418	       5.2	        91
      277	    110	    349	      2.65	        73
      278	     85	    376	         8	        19
      279	    690	    591	      6.86	        49
      280	    682	    576	      11.4	        58
      281	    654	    720	      3.32	        81
      282	    669	    725	      3.61	        81
      283	    769	    695	      19.3	        62
      284	     37	    391	         9	        76
      285	    676	    146	      14.2	      83.5
      286	    670	    169	      25.6	        75
      287	    654	    158	      19.6	        80
      288	    649	    133	      8.43	       112
      289	    657	    112	      6.32	       142
      290	    670	    109	      3.87	        92
      291	    639	    161	      20.1	        80
      292	    628	    180	      25.2	        76
      293	    616	    162	      13.6	        73
      294	    604	    126	       6.4	        19
      295	    630	    140	      8.19	       100
      296	    663	     91	      8.19	       120
      297	    655	     94	       8.6	       108
      298	    626	     76	      9.75	        19
      299	    654	     47	      4.58	        19
      300	    658	     58	       5.2	       106
      301	    785	     91	      11.1	       128
      302	    753	    113	      2.83	      19.5
      303	    749	    106	         3	        14
      304	    753	     87	      2.83	        19
      305	    764	     76	      2.65	       141
      306	    690	    142	       8.6	        77
      307	    697	     74	      2.24	       144
      308	    680	     86	         4	      21.5
      309	    670	     55	      4.47	       148
      310	    705	     64	      3.87	        22
      311	    699	     73	      3.16	       128
      312	    673	     51	      4.12	       129
      313	    670	     43	      3.32	       112
      314	    673	     32	         5	        17
      315	    530	     80	      7.62	        19
      316	    530	     70	      3.74	      18.5
      317	    559	     83	      4.47	      18.5
      318	    533	    104	      4.12	        25
      319	    611	    177	      17.2	        68
      320	    600	    168	        11	        74
      321	    597	    181	      16.7	        61
      322	    578	    189	      18.3	        66
      323	    568	    172	      6.16	        95
      324	    557	    197	      12.8	        75
      325	    532	    195	      6.78	      84.5
      326	    551	    177	      3.61	        94
      327	    573	    136	      10.5	        19
      328	    543	    120	      6.78	       150
      329	    540	    114	      5.92	       124
      330	    762	    133	      8.54	       146
      331	    787	    108	      4.12	       123
      332	    773	     46	      4.24	      20.5
      333	    752	    464	      22.7	        59
      334	    720	    467	      7.94	        58
      335	    697	    463	      9.11	        19
      336	    673	    456	      9.33	        68
      337	    677	    443	      14.6	        68
      338	    693	    443	      13.1	        81
      339	    605	    368	      21.1	        91
      340	    586	    404	         6	      77.5
      341	    578	    396	      10.4	        61
      342	    574	    380	      15.3	        89
      343	    572	    429	      14.3	        19
      344	    527	    438	      9.59	        20
      345	    524	    426	        11	        19
      346	    527	    392	       6.4	        69
      347	    500	    404	      8.31	        19
      348	    520	    391	      8.66	        73
      349	    523	    380	      12.9	        79
      350	    497	    391	      4.58	         2
      351	    494	    376	      12.5	      68.5
      352	    511	    370	      14.5	        66
      353	    672	    400	      22.8	        73
      354	    667	    431	      16.1	        72
      355	    651	    434	      6.78	        73
      356	    655	    392	      23.4	        77
      357	    665	    458	      8.37	        45
      358	    643	    445	      3.61	        50
      359	    591	    461	         6	        19
      360	    640	    386	      20.8	      71.5
      361	    625	    413	       5.2	        19
      362	    617	    383	      16.7	        79
      363	    631	    364	      28.2	        89
      364	    731	    538	      13.5	        45
      365	    721	    551	      20.5	        39
      366	    704	    529	        11	        42
      367	    707	    514	      7.28	        19
      368	    727	    516	       6.4	        20
      369	    676	    541	      11.7	        58
      370	    678	    552	      15.3	        48
      371	    648	    551	      5.39	        21
      372	    635	    540	      12.5	        19
      373	    662	    529	         4	      63.5
      374	    691	    475	         9	        19
      375	    686	    494	      4.69	        18
      376	    728	    502	      5.66	        54
      377	    702	    498	      5.92	        52
      378	    707	    489	      5.66	        64
      379	    466	    139	       4.9	       124
      380	    449	    131	      11.3	        19
      381	    578	    503	       4.8	        69
      382	    571	    515	      9.27	      63.5
      383	    576	    509	      6.16	      63.5
      384	    545	    454	         3	        31
      385	    530	    477	      10.3	        43
      386	    523	    468	      11.4	        44
      387	    563	    473	      10.6	        19
      388	    562	    459	      9.64	        19
      389	    635	    590	        11	        19
      390	    619	    591	      7.75	        19
      391	    583	    562	        16	        19
      392	    568	    588	      20.7	        45
      393	    453	    483	      5.39	        49
      394	    445	    500	      11.2	        40
      395	    422	    479	      9.75	        19
      396	    419	    463	       4.9	        79
      397	    443	    447	      9.54	        19
      398	    500	    418	      7.68	        19
      399	    485	    436	      6.63	        54
      400	    463	    431	      2.24	        49
      401	    459	    426	         3	        64
      402	    485	    405	      3.46	      14.5
      403	    787	    538	      11.7	        26
      404	    750	    537	      13.1	        37
      405	    744	    511	      6.93	        19
      406	    764	    505	      3.46	      36.5
      407	    521	    204	      4.58	        70
      408	    522	    227	      12.8	        71
      409	    496	    218	      4.69	        63
      410	    487	    198	      8.66	        19
      411	    449	    223	      7.62	        82
      412	    438	    234	      5.57	        51
      413	    429	    221	      4.36	        57
      414	    438	    199	      11.8	       115
      415	    446	    207	      9.43	       101
      416	    501	    181	      9.95	        19
      417	    484	    192	      7.87	        19
      418	    476	    195	      8.19	        19
      419	    473	    178	       6.4	       122
      420	    477	    157	      9.85	        92
      421	    454	    154	      4.12	       118
      422	    451	    158	      4.12	        84
      423	    441	    183	      10.5	      83.5
      424	    433	    177	         7	       111
      425	    450	    153	         3	       114
      426	    390	    200	      8.94	        73
      427	    388	    215	      9.59	      77.5
      428	    367	    213	      9.95	        90
      429	    364	    193	      7.07	      83.5
      430	    381	    188	      7.94	        19
      431	    409	    140	      8.94	        19
      432	    401	    151	         3	        61
      433	    348	    225	      2.83	      99.5
      434	    337	    231	      6.48	      76.5
      435	    306	    236	      22.8	        79
      436	    315	    217	      12.8	        89
      437	    326	    206	      8.31	        63
      438	    353	    173	      8.94	        19
      439	    335	    183	      7.87	        98
      440	    374	    256	      8.89	        74
      441	    368	    267	      14.4	        67
      442	    347	    271	      17.4	        65
      443	    358	    238	      5.83	        68
      444	    388	    225	      8.19	        68
      445	    386	    243	      3.32	       101
      446	    380	    252	      6.71	        70
      447	    362	    234	      4.47	        71
      448	    367	    224	      6.32	      81.5
      449	    426	    241	      3.32	        54
      450	    414	    252	      5.29	      70.5
      451	    401	    246	       4.8	        63
      452	    401	    226	      6.93	        66
      453	    418	    228	      4.58	        58
      454	    310	    325	      13.7	        90
      455	    294	    327	      10.4	        86
      456	    274	    314	      15.1	       116
      457	    279	    296	      18.5	        99
      458	    302	    298	      14.5	      94.5
      459	    287	    156	      10.9	        19
      460	    259	    152	      6.93	      58.5
      461	    273	    127	      13.9	        19
      462	    225	    307	      4.36	        95
      463	    205	    328	      5.57	        20
      464	    225	    300	      5.48	      77.5
      465	    177	    360	      17.3	        95
      466	    170	    340	      9.43	        99
      467	    142	    338	      3.74	        16
      468	    152	    332	      5.83	      84.5
      469	    141	    299	        10	        19
      470	     77	    280	      23.6	        19
      471	    130	    265	         9	        20
      472	    174	    271	      9.64	       110
      473	    140	    254	      12.1	        19
      474	    155	    259	      4.69	        95
      475	    225	    292	      11.1	       103
      476	    193	    282	      10.8	        91
      477	    382	    342	      16.2	      76.5
      478	    371	    335	      16.4	        56
      479	    329	    360	      8.19	        73
      480	    305	    347	      7.55	        82
      481	    187	    259	        15	       108
      482	    216	    188	      18.5	       109
      483	    218	    209	      21.2	        77
      484	    190	    212	      3.61	        95
      485	    199	    182	      14.9	        86
      486	    283	    346	      4.36	        17
      487	    266	    335	      4.12	        25
      488	    204	    382	      6.48	        99
      489	    224	    348	      3.16	        15
      490	    233	    318	         5	        20
      491	    475	    393	       4.8	        84
      492	    452	    418	      3.46	      72.5
      493	    449	    415	      3.46	      19.5
      494	    448	    394	      2.83	        93
      495	    409	    451	      6.71	        80
      496	    400	    442	      8.12	      79.5
      497	    412	    425	      3.32	        19
      498	    403	    421	         4	        78
      499	    392	    436	      8.54	        80
      500	    380	    430	      6.86	        77
      501	    390	    401	      3.87	        17
      502	    409	    372	      15.4	      70.5
      503	    393	    376	      10.2	        80
      504	    393	    343	      15.7	        74
      505	    406	    339	      17.3	        69
      506	    179	    163	      11.8	        79
      507	    115	    163	      8.37	       128
      508	     86	    153	      15.7	       134
      509	     96	    138	      17.9	       150
      510	    113	    139	      18.6	       150
      511	    174	    147	        19	       150
      512	    150	    168	      5.92	        67
      513	    136	    160	      5.48	       136
      514	    134	    134	      21.1	       150
      515	    158	    120	        26	       150
      516	    440	    582	      8.54	        65
      517	    419	    585	      9.11	        44
      518	    419	    577	      9.11	        61
      519	    431	    580	      10.6	      58.5
      520	    409	    576	        10	        64
      521	    409	    586	      10.5	      39.5
      522	    390	    582	      7.35	        57
      523	    400	    572	      9.43	        96
      524	    440	    510	        11	        46
      525	    425	    526	      12.8	        44
      526	    409	    526	      12.9	        48
      527	    397	    518	      12.9	        53
      528	    508	    623	      9.64	        92
      529	    491	    638	         5	        74
      530	    473	    631	         4	       138
      531	    476	    621	      5.48	      97.5
      532	    501	    616	      9.75	        74
      533	    460	    612	      7.62	        54
      534	    453	    628	      8.19	        19
      535	    429	    619	      17.1	        19
      536	    402	    641	      33.1	        19
      537	    447	    588	      7.75	        64
      538	    455	    593	      8.37	        68
      539	    588	    628	      20.8	        50
      540	    581	    649	      12.6	        55
      541	    565	    651	      6.32	      54.5
      542	    557	    631	      15.2	        50
      543	    568	    615	      20.7	        51
      544	    577	    668	      4.24	       150
      545	    577	    690	      4.47	       107
      546	    553	    693	      3.32	        70
      547	    552	    676	      3.46	       110
      548	    562	    667	      5.57	       114
      549	    536	    693	      2.83	      98.5
      550	    512	    696	       6.4	        18
      551	    502	    677	       8.6	        19
      552	    523	    670	      4.24	        74
      553	    535	    678	      2.83	      69.5
      554	    521	    639	      6.86	       101
      555	    522	    656	         7	       122
      556	    504	    661	      2.83	        80
      557	    500	    648	       5.1	        63
      558	    515	    629	      9.11	        69
      559	    388	    508	      10.4	        53
      560	    376	    490	      8.37	      51.5
      561	    380	    522	       9.8	      80.5
      562	    365	    530	      6.78	       113
      563	    349	    531	      2.83	       118
      564	    353	    513	       5.2	       148
      565	    366	    507	      5.48	        66
      566	    341	    510	      3.46	        68
      567	    337	    532	      3.16	        99
      568	    335	    508	      3.16	        10
      569	    332	    501	      2.83	      33.5
      570	    284	    451	      31.2	        19
      571	    378	    479	       9.8	        19
      572	    388	    457	      3.74	        19
      573	    336	    544	      2.65	        74
      574	    333	    562	      3.46	      14.5
      575	    369	    567	      4.69	       120
      576	    356	    573	       4.9	      18.5
      577	    344	    564	      2.65	       109
      578	    347	    545	      2.83	       133
      579	    361	    547	         3	        63
      580	    444	    665	      28.6	        19
      581	    487	    651	         3	       120
      582	    144	    455	      7.55	        75
      583	    116	    434	      9.27	        78
      584	    131	    413	      4.58	         8
      585	    145	    399	       4.9	      33.5
      586	    187	    388	      10.8	       102
      587	    184	    402	      7.42	        80
      588	    174	    379	      17.5	        82
      589	    132	    390	      6.24	        19
      590	    121	    377	      2.65	        71
      591	    133	    352	      6.63	      72.5
      592	    102	    423	         4	      17.5
      593	     97	    425	      3.16	      14.5
      594	     87	    429	         4	        19
      595	     82	    426	      4.58	        19
      596	     93	    406	      6.71	        19
      597	     88	    402	      4.58	        61
      598	     80	    392	       4.8	        17
      599	     94	    389	      10.4	        19
      600	     61	    376	      8.72	        78
      601	    119	    328	      4.69	      74.5
      602	    728	    596	      17.1	        50
      603	    707	    592	        12	        55
      604	    724	    579	      22.3	        47
      605	    683	    659	      19.5	        58
      606	    663	    619	      8.25	        19
      607	    643	    611	      3.74	        41
      608	    676	    564	      14.3	        55
      609	    660	    585	       6.4	        18
      610	    651	    562	      6.08	        51
      611	    776	    625	      33.7	        53
      612	    729	    643	        15	        55
      613	    747	    600	      23.2	        52
      614	    633	    695	      11.1	        89
      615	    606	    707	      4.12	        56
      616	    599	    702	      4.69	        66
      617	    619	    675	      15.3	        60
      618	    636	    681	        19	        56
      619	    640	    716	      3.46	        95
      620	    611	    718	      2.65	        60
      621	    638	    708	      4.36	       123
      622	    700	    763	      12.4	        18
      623	    680	    718	         6	       106
      624	    697	    693	      19.5	        66
      625	    705	    705	      12.7	      84.5
      626	    537	    732	      24.6	        19
      627	    511	    755	      33.5	        19
      628	    491	    729	      31.9	        19
      629	    543	    713	      11.8	        19
      630	    582	    710	      2.45	      73.5
      631	    576	    704	      3.74	      79.5
      632	    571	    742	      22.4	        19
      633	    588	    716	         2	      49.5
      634	    594	    724	      6.32	        19
      635	     93	    449	      2.83	      81.5
      636	    102	    447	      3.74	       132
      637	    114	    478	         6	      99.5
      638	    108	    445	      6.08	       115
      639	     68	    449	      11.3	        19
      640	    748	    689	      20.2	        56
      641	    729	    765	      8.43	        24
      642	    722	    758	      8.31	        18
      643	    718	    702	      16.1	        77
      644	     82	    128	      20.2	       136
      645	     70	    144	      16.6	       114
      646	     35	    153	      7.81	        77
      647	     52	    123	      15.7	       127
      648	     70	    113	        21	       122
      649	     70	    158	      12.4	        91
      650	     53	    378	      10.4	        75
      651	     43	    380	      10.6	        74
      652	    687	    517	         6	        19
      653	    687	    526	      7.35	      58.5
      654	    680	    519	      5.83	      19.5
      655	    348	    382	      7.68	        64
      656	    344	    410	      17.2	        19
      657	    329	    416	      21.3	        19
      658	    338	    385	       4.9	        19
      659	    343	    380	      6.56	        80
      660	    426	    405	      5.29	        20
      661	    412	    401	      4.47	        71
      662	    413	    394	      7.68	        76
      663	    176	    432	      9.59	        19
      664	    682	    605	      8.72	        19
      665	    673	    609	      11.8	        19
      666	    678	    592	      4.24	      52.5
      667	    682	    593	      4.24	      58.5
      668	    137	    496	      6.78	        19
      669	    756	    748	      8.25	        19
      670	    750	    736	         3	       113
      671	    757	    719	      9.85	        97
      672	     23	    385	      4.47	        77
      673	    675	    126	      5.74	       131
      674	    674	    133	      9.33	        89
      675	    665	    142	      12.9	       103
      676	    656	    138	      11.7	       104
      677	    655	    126	      7.75	       108
      678	    664	    122	      3.61	        99
      679	    626	    144	      9.43	        93
      680	    622	    152	      11.7	        86
      681	    607	    147	      3.16	      53.5
      682	    606	    145	      3.87	        24
      683	    608	    139	      5.66	        19
      684	    620	    133	      7.28	        96
      685	    661	     74	      3.32	        71
      686	    656	     83	      6.78	      65.5
      687	    645	     82	      3.46	      98.5
      688	    644	     72	      4.47	      25.5
      689	    645	     68	      4.24	        19
      690	    691	     68	         3	       125
      691	    689	     71	      2.65	       150
      692	    685	     73	      2.65	       143
      693	    677	     70	      2.24	        44
      694	    682	     62	      2.24	        48
      695	    694	     64	         3	        38
      696	    692	     66	      2.45	       128
      697	    684	     60	      2.24	        18
      698	    548	     82	      3.46	      98.5
      699	    549	     91	      4.36	        52
      700	    547	     94	      2.65	        82
      701	    542	     91	      3.32	       126
      702	    536	     82	         6	        19
      703	    596	    153	      5.74	        20
      704	    595	    157	       4.9	        78
      705	    590	    166	      8.54	        90
      706	    583	    161	       4.9	      80.5
      707	    780	    138	      4.58	       111
      708	    772	    126	      4.69	       134
      709	    775	    117	         4	      21.5
      710	    623	    394	      10.5	        72
      711	    605	    398	      5.66	        74
      712	    607	    391	      7.81	        77
      713	    680	    484	      3.32	        45
      714	    676	    487	      2.45	      39.5
      715	    669	    486	      3.32	        16
      716	    670	    482	      3.74	        19
      717	    682	    476	      7.28	        17
      718	    719	    497	      6.24	        63
      719	    716	    511	      5.83	        19
      720	    708	    502	      5.83	      42.5
      721	    595	    514	      5.57	        22
      722	    596	    526	      11.4	        19
      723	    586	    517	      5.57	        44
      724	    582	    514	      5.83	      52.5
      725	    587	    510	      4.36	        57
      726	    510	    210	      3.46	        15
      727	    507	    215	         3	        13
