
*** Voronoi Diagram Neighbours k = 774 ***
Seed	Neighbours
N774(313)	{ 105 50 389 352 312 668 353 311 }
N774(314)	{ 69 372 153 504 72 44 }
N774(315)	{ 124 71 504 316 503 }
N774(316)	{ 504 72 315 592 124 317 }
N774(317)	{ 72 592 316 728 591 372 }
N774(318)	{ 319 10 11 439 117 438 }
N774(319)	{ 318 10 320 117 231 }
N774(320)	{ 319 231 717 713 117 }
N774(321)	{ 439 323 322 717 716 117 }
N774(322)	{ 323 645 644 716 42 321 }
N774(323)	{ 439 321 324 644 322 744 643 440 }
N774(324)	{ 439 323 440 442 438 441 }
N774(325)	{ 130 326 16 329 147 17 131 }
N774(326)	{ 325 16 552 67 557 131 327 }
N774(327)	{ 552 553 554 557 326 556 }
N774(328)	{ 13 556 557 601 600 148 }
N774(329)	{ 17 325 599 147 600 132 131 }
N774(330)	{ 334 331 648 335 647 }
N774(331)	{ 334 330 647 693 355 691 }
N774(332)	{ 191 190 630 631 725 724 192 }
N774(333)	{ 355 358 334 609 357 356 }
N774(334)	{ 335 330 307 355 331 358 333 308 }
N774(335)	{ 334 307 306 330 747 648 399 }
N774(336)	{ 337 499 498 23 }
N774(337)	{ 338 23 139 498 336 40 }
N774(338)	{ 337 23 479 339 139 }
N774(339)	{ 23 338 483 340 479 }
N774(340)	{ 23 339 341 706 483 705 }
N774(341)	{ 23 500 342 340 709 705 41 }
N774(342)	{ 23 500 341 499 }
N774(343)	{ 634 75 685 632 74 }
N774(344)	{ 76 293 249 634 250 75 }
N774(345)	{ 253 107 286 226 106 }
N774(346)	{ 226 49 225 762 347 106 }
N774(347)	{ 225 346 106 763 762 50 }
N774(348)	{ 168 169 240 204 239 165 }
N774(349)	{ 239 238 118 505 204 427 }
N774(350)	{ 255 274 351 622 257 615 594 }
N774(351)	{ 274 207 206 185 594 350 256 }
N774(352)	{ 388 50 389 354 313 }
N774(353)	{ 668 313 671 312 43 }
N774(354)	{ 352 388 425 389 391 }
N774(355)	{ 334 356 333 693 192 331 }
N774(356)	{ 192 355 333 610 609 191 }
N774(357)	{ 333 609 771 767 358 }
N774(358)	{ 333 334 308 309 771 209 357 }
N774(359)	{ 66 360 539 65 484 }
N774(360)	{ 361 66 184 359 538 484 179 }
N774(361)	{ 360 184 362 66 67 }
N774(362)	{ 66 32 361 68 16 67 }
N774(363)	{ 365 98 688 83 162 }
N774(364)	{ 281 84 85 60 365 163 97 }
N774(365)	{ 162 363 163 98 97 364 }
N774(366)	{ 367 111 110 712 711 90 }
N774(367)	{ 366 110 111 577 368 91 }
N774(368)	{ 369 111 577 367 51 }
N774(369)	{ 111 90 368 576 112 51 }
N774(370)	{ 572 371 756 373 514 }
N774(371)	{ 373 153 572 515 370 }
N774(372)	{ 314 72 153 373 728 727 317 }
N774(373)	{ 371 153 372 756 370 727 }
N774(374)	{ 419 220 420 418 516 421 422 }
N774(375)	{ 376 219 680 220 140 }
N774(376)	{ 375 218 140 219 518 142 517 }
